country,categoria_expectativa_vida,gdp_per_capita_current_us$,government_integrity,energy_use_kg_of_oil_equivalent_per_capita,life_expectancy_at_birth_total_years,agriculture_value_added_of_gdp,services_value_added_of_gdp,infant_mortality_rate_per_1_000_live_births,tiene_dato_gini,ratio_servicios_agri
Albania,Mortalidad_Media,1326.41652388077,23.0,598.228317118281,75.083,20.4524054141319,42.1990520460137,17.0,0.0,2.0632806357757616
Albania,Mortalidad_Media,1160.42047054038,10.0,581.374748988005,74.826,22.1790139473687,42.1159390377732,17.9,0.0,1.8989094437523362
Albania,Mortalidad_Media,911.320465445326,10.0,417.034611074232,74.022,32.8374497626885,40.4328782613505,22.2,0.0,1.2313038483059149
Algeria,Mortalidad_Baja,4961.55257664733,30.1,1500.3461132579,76.129,10.6131779036563,42.7851541004335,20.0,0.0,4.031323557263067
Algeria,Mortalidad_Baja,4160.55926736925,32.7,1451.44517709293,75.208,11.2354345605089,48.4879581553143,20.2,0.0,4.315628193478444
Algeria,Mortalidad_Media,3743.5419522929,28.3,1372.00040514264,73.257,12.8341693887186,52.8041887035021,20.4,0.0,4.114344068882063
Algeria,Mortalidad_Baja,4468.45341883656,28.9,1463.50985736009,75.682,11.4791798857164,50.4800694011749,20.7,0.0,4.397532742211619
Algeria,Mortalidad_Baja,4577.21029180491,29.0,1442.30211193457,75.555,11.2438301354995,49.4261444653673,21.0,0.0,4.39584588789873
Algeria,Mortalidad_Baja,4554.66753957828,31.7,1380.3468180174,75.431,11.0318809304784,51.2221393515536,21.3,0.0,4.643101178697398
Algeria,Mortalidad_Baja,4424.98529027556,36.0,1371.20207705232,75.31,11.0683130545794,52.3939905220294,21.6,0.0,4.733692502522047
Algeria,Mortalidad_Media,4685.05902729002,36.0,1414.49702064392,75.159,10.5327896965018,52.1103711658838,21.9,0.0,4.947442478908598
Algeria,Mortalidad_Media,6094.69392314956,28.7,1358.04787814425,74.992,9.40707440856373,47.9036022305248,22.3,0.0,5.092295452336994
Algeria,Mortalidad_Media,5979.60138960585,29.0,1273.72242693806,74.809,9.12007464194984,46.7933663667477,22.7,0.0,5.1308095825785305
Algeria,Mortalidad_Media,6033.64884689543,29.0,1258.83718458975,74.609,8.02697167412095,44.9114940485958,23.2,0.0,5.595073194713141
Algeria,Mortalidad_Media,5916.31364364343,28.0,1174.26806450034,74.383,7.08352512171367,44.6513051761826,23.8,1.0,6.303542997159641
Algeria,Mortalidad_Media,4912.78585503672,32.0,1151.13889665565,74.144,7.53171561491377,43.6024032576579,24.4,0.0,5.789172810948877
Algeria,Mortalidad_Media,4235.42990456612,30.0,1148.76705919113,73.871,8.01121741497815,46.1374615012615,25.1,0.0,5.759107400455856
Algeria,Mortalidad_Media,5180.91881514686,31.0,1070.72807038599,73.618,5.54975092049628,39.5735544641773,25.9,0.0,7.130690193324655
Algeria,Mortalidad_Media,4167.45169937531,28.0,1077.66189233078,73.346,6.32601878401142,39.7143271260495,26.9,0.0,6.277933797228795
Algeria,Mortalidad_Media,3660.66104745322,27.0,1032.63866815022,73.116,6.36600271426263,38.3695971271538,27.9,0.0,6.027266850073614
Algeria,Mortalidad_Media,3233.13339634212,26.0,979.326457769033,72.836,6.5592713699842,39.5234001714181,29.0,0.0,6.025577833580822
Algeria,Mortalidad_Media,2816.99384960555,50.0,954.298409338891,72.536,7.72217403415641,41.318485873096,30.1,0.0,5.350628681811331
Algeria,Mortalidad_Media,2283.77299346126,50.0,955.848483496115,71.906,8.45671950735323,43.0000362219583,31.3,0.0,5.084718274570795
Algeria,Mortalidad_Media,1937.46411413019,50.0,911.440557642084,71.644,8.41302644785912,44.6845597055727,32.4,0.0,5.311353765795384
Algeria,Mortalidad_Media,1896.30020878013,50.0,863.498325342364,71.025,8.886179657499,43.9930011441695,33.6,0.0,4.950721551870048
Algeria,Mortalidad_Media,1772.92869122761,50.0,873.657787057718,70.576,8.39504849504573,33.1105460051791,34.7,0.0,3.944056550086521
Algeria,Mortalidad_Media,1466.94806760415,50.0,851.702645830746,67.691,22.696617958649604,52.46104483218278,38.8,1.0,5.1164909302692125
