country,categoria_expectativa_vida,rec_government_integrity,rec_energy_use_kg_of_oil_equivalent_per_capita,rec_life_expectancy_at_birth_total_years,rec_agriculture_value_added_of_gdp,rec_services_value_added_of_gdp,rec_infant_mortality_rate_per_1_000_live_births,rec_tiene_dato_gini,rec_ratio_servicios_agri,gdp_per_capita_current_us$
Albania,Mortalidad_Baja,-0.6243626043910527,-0.4606805954851344,0.3234145936994626,0.1491682101838796,-0.8126127556633151,-0.6052371969619449,-0.867906908224557,-0.2183166061243385,6846.42669381643
Albania,Mortalidad_Baja,-0.6232447254307081,-0.46132352715867997,0.3215332339866272,0.19752576796450472,-0.8355721139060188,-0.5882891398516753,-0.8703850233947592,-0.19347178511871616,6413.28280828537
Albania,Mortalidad_Baja,-0.7263565248267001,-0.3767895815447771,0.33111428519142194,0.19096343595064114,-0.7824924272360506,-0.62802739047362,0.9344477560278017,-0.156554129528172,5370.77749956875
Albania,Mortalidad_Baja,-0.6870081860341135,-0.37437674325559084,0.35358657396145515,0.08764967503654553,-0.743747126933758,-0.6698473889139123,0.9435911298298889,-0.0784944501267093,5460.4305086932
Albania,Mortalidad_Baja,-0.6929468889119181,-0.3798932614142346,0.35084068704723803,0.1224847067201631,-0.7655634711799513,-0.6608381380536981,0.937409168778481,-0.09612569990492298,5365.48880180298
Albania,Mortalidad_Baja,-0.6996186600213469,-0.3795542928519926,0.3469366005138688,0.13720841549016727,-0.7698144714001569,-0.654138937583596,0.9365560592186285,-0.10851186377250216,4614.0479692596
Albania,Mortalidad_Baja,-0.7415549696989915,-0.4074753328001335,0.30532617058481487,0.36114546643851986,-0.8905833664091317,-0.5633493692981998,0.9219005482697975,-0.22638042130642394,4168.37544462548
Albania,Mortalidad_Baja,-0.737651996276125,-0.40717608036323255,0.28197266963192935,0.3741862268411118,-0.8876711230241482,-0.5270904312697117,0.9458333779778094,-0.22580250863661316,3981.72662261867
Albania,Mortalidad_Baja,-0.7262685455667681,-0.41969912242795965,0.24901058815937716,0.4314775379908331,-0.9192334495910819,-0.4672487728626107,0.9730885489180688,-0.22986036705994806,4602.23051443229
Albania,Mortalidad_Baja,-0.653202299386902,-0.4901387454403002,0.31250128304455266,0.46658883358155534,-1.0002947690736141,-0.5237969924587215,-0.7067209519145667,-0.2279450707334873,4420.23461988353
Albania,Mortalidad_Baja,-0.7456025970080793,-0.3805073739688755,0.32044068709848833,0.2509734379451334,-0.809308377592221,-0.6062438097799964,0.9276104863882559,-0.19761592240823034,4222.3470988913
Albania,Mortalidad_Baja,-0.632216198191849,-0.4799922051193409,0.32495129443749143,0.3266224669916463,-0.9274722391280266,-0.5678524544133188,-0.7166282523928131,-0.20276938326236676,4465.70914328865
Albania,Mortalidad_Baja,-0.6272083424473885,-0.4798542609457366,0.32753579660689497,0.3315411433979317,-0.9316611285437647,-0.5676731562202694,-0.702956909059919,-0.18379304982640698,4149.14469936847
Albania,Mortalidad_Baja,-0.6273582161774662,-0.4790021237657894,0.33035117592288255,0.2748818476197178,-0.9050914217280833,-0.5878088638035323,-0.6973517012314601,-0.20889553995286075,4213.65007574693
Albania,Mortalidad_Baja,-0.7541198153078892,-0.37637773308627187,0.2963794423230991,0.273075733603958,-0.8040901223140262,-0.5701953371995543,0.9466848845005489,-0.21449490308720304,4498.50486763601
