country,categoria_expectativa_vida,AE_Latente_1,AE_Latente_2,AE_Latente_3,AE_Latente_4,gdp_per_capita_current_us$
Albania,Mortalidad_Baja,2.185155257622659,0.0,3.7835977946329846,2.2176770299706754,6846.42669381643
Albania,Mortalidad_Baja,2.16775488932734,0.0,4.030526179033526,2.2688639021933166,6413.28280828537
Albania,Mortalidad_Baja,0.0,0.0,1.5384602799978802,0.48592643274182734,5370.77749956875
Albania,Mortalidad_Baja,0.0,0.0,1.4208837351707833,0.6593892468043026,5460.4305086932
Albania,Mortalidad_Baja,0.0,0.0,1.4866662754825772,0.627231338990476,5365.48880180298
Albania,Mortalidad_Baja,0.0,0.0,1.4996275464896303,0.598687499156308,4614.0479692596
Albania,Mortalidad_Baja,0.0,0.0,1.8742986538992246,0.3421567611434715,4168.37544462548
Albania,Mortalidad_Baja,0.0,0.0,1.8780573293469693,0.3075777142149285,3981.72662261867
Albania,Mortalidad_Baja,0.0,0.0,1.992999834318498,0.2590480176671263,4602.23051443229
Albania,Mortalidad_Baja,1.8905173855974984,0.0,4.561999206163177,2.0215977698320633,4420.23461988353
Albania,Mortalidad_Baja,0.0,0.0,1.6196284702437387,0.39813808069998113,4222.3470988913
Albania,Mortalidad_Baja,1.9400563301518654,0.0,4.190040221038734,2.095859907683718,4465.70914328865
Albania,Mortalidad_Baja,1.9173477895789584,0.0,4.2466177992368435,2.1231523247903064,4149.14469936847
Albania,Mortalidad_Baja,1.9334880371402183,0.0,3.9660557748586887,2.0691992525686165,4213.65007574693
Albania,Mortalidad_Baja,0.0,0.0,1.6133377181180628,0.3282475782316138,4498.50486763601
Albania,Mortalidad_Baja,1.7894029698716687,0.0,4.235997278330911,1.9361128364593259,3743.05529896187
Albania,Mortalidad_Baja,1.7753503731500373,0.0,4.413365536294452,1.9359848784154727,3057.77257038113
Albania,Mortalidad_Baja,0.0,0.0,1.9913755796229995,0.1524021883752151,2741.72136549578
Albania,Mortalidad_Baja,1.7108677949899123,0.0,5.124643396543463,1.9366906629182883,2446.90949947798
Albania,Mortalidad_Baja,1.7240485917990604,0.0,5.664361022429703,2.0503616094639674,1908.69900687608
Albania,Mortalidad_Baja,0.0,0.0,2.496836629432382,0.0,1479.83884572006
