country,categoria_expectativa_vida,government_integrity,energy_use_kg_of_oil_equivalent_per_capita,government_integrity infant_mortality_rate_per_1_000_live_births,ratio_auto_agriculture_value_added_of_gdp_div_government_integrity,ratio_auto_infant_mortality_rate_per_1_000_live_births_div_agriculture_value_added_of_gdp,gdp_per_capita_current_us$
Albania,Mortalidad_Baja,0.35600000000000004,0.0357815277821338,0.056068311195445926,0.07464711834270955,0.0031863314624691066,6846.42669381643
Albania,Mortalidad_Baja,0.406,0.03713980028233272,0.06317267552182164,0.06857076642187784,0.00281680247378511,6413.28280828537
Albania,Mortalidad_Baja,0.38799999999999996,0.034909912055976655,0.05963567362428842,0.07583659425231037,0.0024166253560743,5370.77749956875
Albania,Mortalidad_Baja,0.40399999999999997,0.0374725594748351,0.06132827324478178,0.07033230038698651,0.0025468586311532698,5460.4305086932
Albania,Mortalidad_Baja,0.399,0.03774755033424578,0.05905502846299811,0.07025354294416288,0.0024785707671377464,5365.48880180298
Albania,Mortalidad_Baja,0.397,0.03780656199324813,0.058005692599620504,0.07125192746307749,0.002352844902273296,4614.0479692596
Albania,Mortalidad_Baja,0.33,0.03602899778633869,0.04759013282732448,0.09087728951082952,0.0019625453761855957,4168.37544462548
Albania,Mortalidad_Baja,0.31,0.034925260211861354,0.04470588235294117,0.09462036930549154,0.002080499621602364,3981.72662261867
Albania,Mortalidad_Baja,0.304,0.03718001547048307,0.044994307400379505,0.09901288946278215,0.0020812684042036474,4602.23051443229
Albania,Mortalidad_Baja,0.31,0.03684757146140003,0.047058823529411764,0.09551703761458732,0.0023106051860149047,4420.23461988353
Albania,Mortalidad_Baja,0.33,0.03156457319887963,0.0532258064516129,0.08340585291389956,0.003113438861351112,4222.3470988913
Albania,Mortalidad_Baja,0.32,0.03513904734442954,0.05464895635673624,0.08175285458973275,0.0038447425639792578,4465.70914328865
Albania,Mortalidad_Baja,0.34,0.03347570784337497,0.06258064516129032,0.07527976832135246,0.004570879041390833,4149.14469936847
Albania,Mortalidad_Baja,0.29,0.03361513830821926,0.05722960151802657,0.08243546188479157,0.005735346594974964,4213.65007574693
Albania,Mortalidad_Baja,0.26,0.03260482664416358,0.05476280834914611,0.09280706071261252,0.006254272360177322,4498.50486763601
