country,iso_code,countryiso3,year,heritage_score,property_rights,government_integrity,tax_burden,government_spending,business_freedom,labor_freedom,monetary_freedom,trade_freedom,investment_freedom,financial_freedom,efw_score,size_of_government,legal_system_and_property_rights,sound_money,freedom_to_trade_internationally,regulation_of_credit_labor_and_business,standard_deviation_of_the_5_efw_areas,access_to_electricity_of_population,agriculture_value_added_of_gdp,annual_freshwater_withdrawals_of_internal_resources,current_health_expenditure_of_gdp,domestic_credit_to_private_sector_of_gdp,energy_use_kg_of_oil_equivalent_per_capita,exports_of_goods_and_services_of_gdp,foreign_direct_investment_net_inflows_current_us$,forest_area_of_land_area,gdp_per_capita_current_us$,government_expenditure_on_education_of_gdp,gross_capital_formation_of_gdp,imports_of_goods_and_services_of_gdp,industry_value_added_of_gdp,infant_mortality_rate_per_1_000_live_births,inflation_consumer_prices_annual,labor_force_participation_rate_male,labor_force_participation_rate_total,life_expectancy_at_birth_total_years,personal_remittances_received_current_us$,primary_energy_consumption_constant_2017_ppp_$,real_interest_rate,renewable_energy_consumption_of_total_final_energy_use,school_enrollment_primary_gross,school_enrollment_secondary_gross,school_enrollment_tertiary_gross,services_value_added_of_gdp,trade_of_gdp,unemployment_total_of_total_labor_force,unemployment_youth_ages_15-24
Albania,ALB,ALB,1.6057305236195811,0.5888600262666942,0.27598497393984045,-0.269587032579926,1.0519151564343183,0.29458586763646377,0.438558706679506,-0.7744625583803595,0.3288001025206062,0.5563706367809294,0.7259248716054432,1.0333750553606673,0.8380109922842504,0.9245757852734889,0.14920795071114637,0.6704941662809364,1.0051433646418035,0.42734264830700763,-0.11775729439617019,0.7654613195350397,0.7744957948478858,0.6099076311419449,0.0053428305550247334,0.03690001747067557,-0.5006256235042675,0.17965073159531142,-0.21277403213579205,-0.11587608258957603,0.2718567515379966,-1.1697109284802572,0.5022243580982916,0.2641629560125091,-0.2509816621805946,-0.6274096028835842,0.18527016261088586,0.3627671115591624,-0.10691904463137886,0.9387372522755865,0.46076749771265224,-1.802280857736396,-0.6543471637613257,-0.6125948518968044,-0.40613711413259257,0.6633876534951315,1.1098214464822016,-0.645243035195913,0.19667426539468724,0.5860290926404021,0.742394367352058
Albania,ALB,ALB,1.4676027336067483,0.4507855073978204,-0.13551846960170474,-0.04922302355444644,1.044426024503279,0.4044573703522608,0.1422852139146451,-0.737254534027616,0.3288001025206062,0.5650481601263302,0.7259248716054432,1.0333750553606673,0.9316127950346249,0.848998569293471,0.06563240795791034,1.207729565873128,0.9921432712032725,0.4626966602208241,0.36031965424192486,0.7654613195350397,0.8235758741162507,-0.5426285067126733,0.4774312976551006,0.11384714765486487,-0.46524248191591516,-0.09424899505083752,-0.21792766548085218,-0.11587608258957603,0.23063761564208765,-0.9865534800413093,0.6888002417271862,0.1360342246014221,-0.3166346603454674,-0.6378058316231606,-0.3515740109213763,0.14809859589203817,-0.2568627838673287,0.7343573939287424,0.4576092322276536,-1.5693042668761437,-0.099484178646248,0.20313421605074714,-0.3511689270721599,0.6747695680892971,1.0028482829964165,-0.7310735143641286,-0.02162288858285269,0.7585733671729268,0.8810105072274241
Albania,ALB,ALB,1.3294749435939157,0.6184474231671684,0.3460281132660609,-0.12855406680361925,0.8122629346410468,0.4044573703522608,0.11652230150030998,-0.7000465096748726,0.3057581026839283,0.7999641542051504,0.7259248716054432,1.0333750553606673,0.9222526147595878,0.8698194930452737,0.04121294745535528,1.3998453334533272,0.9542558137474838,0.2810812070136105,0.5741212876849289,0.7654613195350397,0.8826983237342712,-0.5487274676423572,0.5184592581027669,0.14963397164169714,-0.5240461707162849,-0.5706067615465905,-0.22137469409499722,-0.11587608258957603,0.11864530045426501,-0.7760701276519915,0.43792725098454144,-0.21376080667820516,-0.20268198304259022,-0.6483201701287771,-0.42079656431980555,0.017153573636200296,-0.36207459574100725,0.8384053218144083,0.425300716419828,-1.4976001198339217,0.2593193917474299,0.2872315031419442,-0.13365487134699336,0.6171030597737538,1.0673757281160845,-0.6886273182064322,-0.46779513703852477,0.7849491121812479,0.927046224019056
Albania,ALB,ALB,1.191347153581083,0.5789975606332037,0.24534110048461885,-0.05803758391546575,0.8422194623652053,0.37369334959183814,0.3483885132293308,-0.6553968804515803,0.3144250262427303,0.7755092349089272,0.7259248716054432,1.0333750553606673,1.0345747780600376,0.9366068461414981,0.03722266975032729,1.4612402651110257,1.003430808197575,0.6026427254849746,0.5711559482089171,0.7654613195350397,0.8452983933963876,-0.37314786966180297,0.2671306832114754,0.0349271796573556,-0.4567715566008598,-0.10386167592417409,-0.21833425681978202,-0.11587608258957603,0.12910322278452654,-0.39824814141514336,0.3617141185297425,0.1355450808879799,-0.2575266538745958,-0.6589554434946131,-0.45789953856819166,0.24891794612571597,-0.11802956654641399,1.012844858055376,0.42624548392575706,-1.3902041589019036,0.1738312720053763,0.14258416934508533,0.058108937749841195,0.7196287607914558,1.060313860369296,-0.7124452323123326,-0.026867128308708167,0.7575890339266882,0.8648338701358061
Albania,ALB,ALB,1.05321936356825,0.3817482479633828,0.21469722702939759,-0.0800739848180137,0.7523498791927279,0.32095502828825545,0.33550705702216277,-0.8265537924742006,0.34023795092562137,0.7755092349089272,0.7259248716054432,1.0333750553606673,0.9971340569598879,0.8545560781428989,0.022767763160982796,1.3995541311476076,0.999476588627445,0.6315272175622172,0.5335491235228998,0.7654613195350397,0.8308516985380263,-0.45325313190531824,0.19127407037183658,-0.0022629895340588843,-0.4498278341036046,-0.09517480329634113,-0.21825644546389436,-0.11587608258957603,0.11802289482980285,-0.9007217086092095,0.5292814965513932,0.14134487582118413,-0.17210217056266083,-0.6806006201101489,-0.35368732369216954,0.12360993611942309,-0.21560893293063374,0.9885316177637257,0.4242187723474827,-1.3158351379254942,0.09299282722178973,0.06521466522118391,0.20581856783006125,0.7132239622583557,0.8474814022774145,-0.8063472437135039,-0.019013876123754294,0.8578923810840829,0.9266291447670896
Albania,ALB,ALB,0.9150915735554174,0.37188578232989233,0.21031953082150873,-0.08888854517903269,0.8871542539514444,0.3121653080709915,0.9924613235877229,-0.8042289778625541,0.3115395584714724,0.7714173564003522,0.7259248716054432,1.0333750553606673,1.006494237234926,0.6724964616006021,0.09840791773543953,1.4159054541370093,1.0135009679164644,0.7260160169729843,0.43561762823842776,0.760447601135345,0.8405168251339071,-0.39052365157662683,0.15604410101902322,0.04710438924341375,-0.44834434488254415,-0.1006498658161599,-0.2224636306645589,-0.11587212735532716,0.022644686652085654,-0.5987121317124982,0.5717689319985153,0.19284225703001384,-0.2588684800986341,-0.691616714395751,-0.3602469038267479,-0.004470374993205133,-0.3353127299108795,0.9526456997786703,0.4027001781406931,-1.2182705536474925,-0.008352474409610622,0.034939641868353015,0.26904986822965055,0.6717572898905771,0.9248730425131684,-0.7916712688099128,0.008295914229514931,1.004664570040024,1.080918035081119
Albania,ALB,ALB,0.7769637835425847,0.519822766832258,-0.6214427486773593,-0.3841763172731754,0.9545564413308016,0.4220368107867886,0.23889613546840394,-0.7446961388981649,0.32018548398627855,0.7673208621225959,0.7259248716054432,1.0333750553606673,1.0252145977850005,0.8873263018080373,0.10004791550258942,1.4469610851028245,0.9359460823395197,0.6460968408750998,0.4352468231161742,0.760447601135345,0.9031831202461569,-0.3900815507378198,0.21511701853070422,0.10749746397805245,-0.4940799804355318,-0.21832745711311738,-0.22196226249487352,-0.11543309635364217,-0.04163227573309486,-0.3680652800387786,0.4924206118933309,0.1741422324105982,-0.16001780283765815,-0.7027661370234803,-0.48295900155327615,-0.0728538022827748,-0.40709636280540984,0.9253596615474289,0.40179680171336274,-1.24436517108918,0.41815482648749597,0.11903692895955006,0.26231668681497194,0.724799039857434,0.9436748749253784,-0.8906907399206291,-0.06162517951832878,1.189145041680046,1.2979844306534956
Albania,ALB,ALB,0.6388359935297518,0.5000978355652757,-0.8403275590717982,-0.4723219208833672,0.9096216497445635,0.47038027198173904,0.43211797857592155,-0.6405136707104833,0.2941528704724816,0.7755092349089272,0.7259248716054432,1.0333750553606673,0.9877738766848498,0.8827905637234903,0.07728022257993789,1.348868630452673,0.9003983730932563,0.6818462994943097,0.36928075339381206,0.7654613195350397,0.8793233785424217,-0.47278154177067205,0.11125402414496895,0.12640186779548504,-0.5236287263377415,-0.3037765639064049,-0.22323281129820938,-0.11542123065089557,-0.0706374124961862,-0.713091033581349,0.5494951588174523,0.12530380579284534,-0.09544903448636578,-0.7027661370234803,-0.3747817389434467,-0.266175599431127,-0.582642609062962,0.8951008253765981,0.3994241606292643,-1.2356252487833788,0.356801282387379,0.08876190560671918,0.2894823767912852,0.8334471462488244,1.0823768448694753,-0.9413858461624831,-0.13278981570158543,1.355000035196178,1.453874285325475
Albania,ALB,ALB,0.5007082035169191,0.6184474231671684,-0.8403275590717982,-0.49876560196642483,1.3215239059517503,0.44840597143857963,0.9151725863447157,-0.8786450265680411,0.2707711797057773,0.7632197416504324,0.9609026007962673,1.0333750553606673,0.9128924344845497,0.7842762791554119,-0.033987709029131785,1.2939380136864558,0.906441178808772,0.6661222647585023,0.4853813927328036,0.7654613195350397,0.907152407431257,-0.39766184222425455,0.09965878604861833,0.1859317121930065,-0.46421471331818026,-0.24996318450875324,-0.21951729135282502,-0.11767334103250561,0.021022588355217076,-0.8585761325699599,0.6052912452677918,0.24161600276916873,-0.16409755033789447,-0.6806006201101489,-0.4199386817017104,-0.5219665815088705,-0.7833082961718973,0.8601704495864095,0.41896207933776547,-1.0376462877485877,0.2952297625820814,0.09212579709036711,0.29559868691996427,0.8627077925670581,1.2257719969605352,-0.960968419954361,-0.03598766243102783,1.4307374583904742,1.4508716063775817
Albania,ALB,ALB,0.3625804135040864,0.4507855073978204,-0.8403275590717982,-0.4723219208833672,1.31403477402071,0.4264316708954202,1.1019537013486498,-0.9307362606618821,0.22330690443974827,0.4326565201686985,0.4909471424146189,1.0333750553606673,0.7537693698089121,0.9662840141293177,-0.05425034060694394,1.2728965780307853,0.40342417099639033,0.4685099732502065,0.42082907867599845,0.760447601135345,0.8894645364570622,-0.38670841470797074,0.04026896700919069,0.20346744990596446,-0.4727445101360559,-0.20794992713845198,-0.21710454208274943,-0.1199254514141155,-0.0045031571869111695,-0.6463859509762405,0.7609099573114706,0.23865241760910302,0.00912827904641804,-0.6589554434946131,-0.36809008776689844,-0.6705619208083692,-0.8801147566837673,0.8565606235169078,0.39799860225371236,-1.014371690200516,0.5958719172925108,0.17622308418156415,-0.025103752043819302,0.8488137449299784,1.1576006311310432,-0.963526619588784,-0.017593414928394453,1.2323644924101345,1.0820291983487744
