country,categoria_expectativa_vida,tsne_dim1,tsne_dim2,umap_dim1,umap_dim2,gdp_per_capita_current_us$
Angola,Mortalidad_Alta,-23.048737,-12.873272,0.04896284,16.359438,882.147847234303
Angola,Mortalidad_Alta,-23.826273,-13.749916,0.0332802,16.391014,533.586202412447
Angola,Mortalidad_Alta,-23.95158,-15.611689,0.14254309,16.374432,563.733795571487
Angola,Mortalidad_Alta,-23.277523,-13.504716,0.04025903,16.368645,404.29481849612
Argentina,Mortalidad_Baja,10.754005,-23.582012,12.571072,10.121721,13935.6811110049
Argentina,Mortalidad_Media,18.240997,-12.718859,12.589518,9.854862,10738.0179223384
Argentina,Mortalidad_Baja,16.403402,-32.941566,12.332114,9.928851,8535.59938004389
Argentina,Mortalidad_Baja,11.300572,-27.27345,12.537482,10.622262,9955.97478680428
Argentina,Mortalidad_Baja,11.383712,-27.142284,12.553913,10.595716,11752.7998922979
Argentina,Mortalidad_Baja,15.358391,-25.762125,12.612776,10.037274,14532.5009308511
Argentina,Mortalidad_Baja,11.5830345,-27.66585,12.542956,10.523886,12699.9623137756
Argentina,Mortalidad_Baja,-3.827725,42.61119,-4.753894,7.9517627,13679.6264980954
Argentina,Mortalidad_Baja,5.80542,-27.57238,12.553251,11.287675,12233.1444119186
Argentina,Mortalidad_Baja,6.3070583,-27.542612,12.575263,11.206246,12963.675773326
Argentina,Mortalidad_Baja,6.1600156,-27.579424,12.556023,11.2286215,12949.717486654
Argentina,Mortalidad_Baja,5.19582,-27.516592,12.564709,11.462792,12704.2831819684
Argentina,Mortalidad_Baja,4.9096394,-27.510502,12.507121,11.496697,10260.1313108254
Argentina,Mortalidad_Baja,6.0871744,-27.511282,12.515954,11.272273,8150.23527028221
Argentina,Mortalidad_Baja,4.0883694,-27.36067,12.512151,11.640104,8944.1102657357
Argentina,Mortalidad_Media,3.4654222,-27.263643,12.509839,11.743021,7185.25155147027
Argentina,Mortalidad_Baja,3.218425,-27.393255,12.500921,11.847705,5869.38028970204
Argentina,Mortalidad_Baja,3.0873654,-27.436504,12.473655,11.893676,5067.65342293276
Argentina,Mortalidad_Media,2.935679,-27.210407,12.481673,11.890075,4242.02099089422
Argentina,Mortalidad_Media,6.246636,-32.77285,12.092277,11.308761,3320.47775133903
Argentina,Mortalidad_Media,6.491502,-34.363194,12.008383,11.199145,2569.69963519124
Argentina,Mortalidad_Media,21.851492,-48.696167,9.920631,9.827255,7141.47507662826
Argentina,Mortalidad_Media,21.612719,-48.82245,9.915028,9.850462,7637.01489203628
Argentina,Mortalidad_Media,23.997385,-41.375652,10.364584,9.412764,7357.6162773788
Armenia,Mortalidad_Media,17.720684,-35.009937,11.677234,9.784656,6571.97445545099
Armenia,Mortalidad_Media,12.912814,-33.497444,12.049176,10.626269,4685.17997128509
Armenia,Mortalidad_Media,12.865007,-33.388023,12.044132,10.609047,4268.68093304583
Armenia,Mortalidad_Baja,11.829454,-32.5868,12.040438,10.652482,4597.22887399548
Armenia,Mortalidad_Baja,11.451059,-33.522274,12.012119,10.75338,4196.00562301769
Armenia,Mortalidad_Baja,11.36233,-33.77214,11.988547,10.820985,3869.05373867752
Armenia,Mortalidad_Media,-15.380364,-29.0442,11.994768,11.282931,3524.42476874707
Armenia,Mortalidad_Media,-15.577093,-29.128296,11.564335,12.988433,3512.39350276709
Armenia,Mortalidad_Media,-16.280758,-30.468779,11.462888,13.202526,3852.11800610384
Armenia,Mortalidad_Media,-16.427956,-30.527044,11.499572,13.205589,3680.16692158886
Armenia,Mortalidad_Media,-16.374048,-30.600443,11.5008135,13.224658,3511.56399687426
Armenia,Mortalidad_Media,-0.77035147,-38.883915,11.839692,11.876259,3349.55309771906
Armenia,Mortalidad_Media,-1.5029224,-39.111107,11.786048,11.996887,3041.34450723339
Armenia,Mortalidad_Media,5.4244947,-46.64807,10.412182,10.912229,2820.5926553347
Armenia,Mortalidad_Media,5.568885,-46.748234,10.343065,10.875788,3777.66859313767
Armenia,Mortalidad_Media,-1.5070155,-39.10298,11.7271385,12.037911,2962.70234594569
Armenia,Mortalidad_Media,2.7419984,-47.455738,10.568713,11.833587,2041.65267068997
Armenia,Mortalidad_Media,-12.631276,-47.31914,10.687832,13.740548,1557.48458908655
Armenia,Mortalidad_Media,-9.736274,-44.44247,11.319714,13.264647,1130.08791444158
Armenia,Mortalidad_Media,-21.604464,-44.566418,10.536153,14.419843,882.030167695474
Armenia,Mortalidad_Media,-21.416954,-44.3943,10.585951,14.367892,742.651118319819
Armenia,Mortalidad_Media,-24.37559,-45.205776,10.082786,14.958713,659.588988535629
Armenia,Mortalidad_Media,-33.449303,18.008041,-3.2965686,13.835369,593.450581742282
Armenia,Mortalidad_Media,-51.02445,23.322138,-5.0922523,14.751675,443.924860857976
Australia,Mortalidad_Baja,20.6852,55.077568,-1.1080905,1.7037537,64997.0136536475
Australia,Mortalidad_Baja,20.744366,55.05135,-1.0917798,1.7193906,60607.7788605166
Australia,Mortalidad_Baja,20.943007,54.8729,-1.098335,1.7163717,51791.540179984
Australia,Mortalidad_Baja,20.885359,52.891758,-1.1314144,1.7154732,54972.7017885437
Australia,Mortalidad_Baja,54.974384,8.791968,10.468543,-0.6526158,57196.4220783778
Australia,Mortalidad_Baja,20.727205,52.28339,-1.1598152,1.7780834,53901.7145392154
Australia,Mortalidad_Baja,55.064095,8.76585,10.55147,-0.63130295,49888.0410842736
Australia,Mortalidad_Baja,20.846676,52.939175,-1.1354359,1.696828,56739.0265346593
Australia,Mortalidad_Baja,56.884727,10.894126,10.283836,-0.8068633,62544.0873773726
Australia,Mortalidad_Baja,20.996384,54.423798,-1.1026556,1.6954033,68190.7010035651
Australia,Mortalidad_Baja,20.907608,54.25652,-1.1266924,1.7021422,68072.8732340801
Australia,Mortalidad_Baja,21.06394,54.08149,-1.1045364,1.7127742,62605.600458306
Australia,Mortalidad_Baja,56.415104,11.271867,10.296232,-0.7920846,52144.6654705468
Australia,Mortalidad_Baja,21.094471,53.853733,-1.1104016,1.7220119,42816.5674002829
Australia,Mortalidad_Baja,56.26031,11.872148,10.272866,-0.8012738,49701.2817843335
Australia,Mortalidad_Baja,21.146654,54.052387,-1.0731367,1.6862074,41051.6120652288
Australia,Mortalidad_Baja,20.769,54.056355,-1.128496,1.7190326,36595.7071548423
Australia,Mortalidad_Baja,20.506111,54.15965,-1.1050042,1.7018298,34479.7679298388
Australia,Mortalidad_Baja,56.001225,11.692032,10.281215,-0.7905984,30836.7306824685
Australia,Mortalidad_Baja,55.929935,11.616387,10.299645,-0.75980055,23718.1338501868
Australia,Mortalidad_Baja,20.302834,53.619972,-1.115406,1.7403042,20301.8431713256
Australia,Mortalidad_Baja,55.86978,11.742074,10.322226,-0.78262645,19695.7297379144
Australia,Mortalidad_Baja,20.11581,53.973255,-1.1296515,1.7595816,21870.4159669594
Australia,Mortalidad_Baja,35.840076,-10.367179,13.272088,5.5966053,20448.1219685874
Austria,Mortalidad_Baja,44.146393,-2.1902516,13.248901,4.0494733,52176.6649141178
Austria,Mortalidad_Baja,43.735622,-1.9931871,13.216986,4.077904,53648.7190742245
Austria,Mortalidad_Baja,44.10092,-2.3109121,13.286175,4.003598,48716.4098900349
Austria,Mortalidad_Baja,41.90056,-4.674036,13.121816,4.32343,49885.9947355204
Austria,Mortalidad_Baja,41.189392,-5.5447245,13.137963,4.3732944,51194.0749841299
Austria,Mortalidad_Baja,41.27543,-5.0367193,13.128348,4.345215,47163.7425775142
Austria,Mortalidad_Baja,40.868614,-5.7736278,13.115671,4.412362,45061.4993920192
Austria,Mortalidad_Baja,40.613632,-6.162372,13.155357,4.4703484,43915.228020857
Austria,Mortalidad_Baja,41.259274,-4.954076,13.113995,4.3722916,51314.9722616322
Austria,Mortalidad_Baja,41.6115,-4.0240483,13.082961,4.3541384,50305.3545774973
Austria,Mortalidad_Baja,41.62397,-3.5945458,13.11963,4.284611,48250.4059142637
Austria,Mortalidad_Baja,41.66601,-3.6106167,13.133072,4.286136,51116.8953522042
Austria,Mortalidad_Baja,42.249893,-2.7910185,13.14354,4.2435455,46611.1393420232
Austria,Mortalidad_Baja,42.444374,-2.8545978,13.146783,4.231335,47857.4446635266
Austria,Mortalidad_Baja,42.9104,-1.2355983,13.122912,4.1184983,51581.3982361071
Austria,Mortalidad_Baja,42.929585,-1.052206,13.1301985,4.1511126,46622.9622913635
Austria,Mortalidad_Baja,42.53556,-1.5273231,13.114805,4.1636295,40382.2078298575
Austria,Mortalidad_Baja,40.885048,-2.7911618,13.099057,4.4451714,38157.37022862
Austria,Mortalidad_Baja,40.32265,-3.121594,13.081914,4.6405387,36614.2506533707
Austria,Mortalidad_Baja,40.2201,-3.0897486,13.068883,4.7383175,32110.1159661425
Austria,Mortalidad_Baja,11.024307,49.823166,-2.0104449,2.342463,26334.862215032
Austria,Mortalidad_Baja,10.912742,49.772617,-2.0566783,2.2887003,24430.495982841
Austria,Mortalidad_Baja,36.332954,-5.7601714,12.968464,5.077478,24487.2974685956
Austria,Mortalidad_Baja,46.689487,1.9728997,13.140003,2.997472,30207.0674314652
Azerbaijan,Mortalidad_Media,-24.743708,49.599514,-6.5737886,10.261689,7770.594223351
Azerbaijan,Mortalidad_Media,-24.547775,46.045616,-6.1386037,10.411908,5408.04535175023
Azerbaijan,Mortalidad_Media,-23.615437,43.785854,-5.6174817,10.607335,4229.91064904503
Azerbaijan,Mortalidad_Media,-24.434832,46.187675,-6.1569285,10.388719,4805.75371765917
Azerbaijan,Mortalidad_Media,-24.380482,46.507034,-6.1760707,10.385285,4739.7943123408
Azerbaijan,Mortalidad_Media,-23.82906,46.24555,-6.1502337,10.3713875,4147.1981423222
Azerbaijan,Mortalidad_Media,-22.367468,46.380234,-6.087289,10.255536,3880.6852276838
Azerbaijan,Mortalidad_Media,-22.07769,46.192818,-6.006347,10.243608,5500.50364628486
Azerbaijan,Mortalidad_Media,-25.603043,49.80588,-6.556566,10.2716875,7890.84028062087
Azerbaijan,Mortalidad_Media,-26.059288,50.261787,-6.6521373,10.298491,7875.34536661549
Azerbaijan,Mortalidad_Media,-26.327183,50.664402,-6.7614007,10.292816,7495.86527658099
Azerbaijan,Mortalidad_Media,-26.621885,51.089348,-6.824633,10.300166,7189.81869211976
Azerbaijan,Mortalidad_Media,-26.756021,51.122986,-6.852704,10.310798,5843.5337683582
Azerbaijan,Mortalidad_Media,-26.782085,50.478626,-6.7873864,10.356005,4950.39949009423
Azerbaijan,Mortalidad_Media,-27.364265,51.99024,-6.9251165,10.320387,5574.46810432575
Azerbaijan,Mortalidad_Media,-27.62542,52.414783,-6.979401,10.331325,3851.33015175141
Azerbaijan,Mortalidad_Media,-27.664667,52.306934,-6.9688015,10.3340225,2472.95725732287
Azerbaijan,Mortalidad_Media,-19.375446,-38.5525,11.338051,14.42645,1578.36733030667
Azerbaijan,Mortalidad_Media,-19.318535,-39.007122,11.352448,14.437305,1045.0136328106
Azerbaijan,Mortalidad_Media,-19.386518,-39.193474,11.3178835,14.438914,883.692580745256
Azerbaijan,Mortalidad_Alta,-19.51384,-39.477283,11.304428,14.454162,763.108895463487
Azerbaijan,Mortalidad_Alta,-19.591398,-39.65873,11.2787895,14.484493,703.670998584686
Azerbaijan,Mortalidad_Alta,-44.314888,23.92802,-4.3481297,14.239001,655.097249579917
Azerbaijan,Mortalidad_Alta,-27.98246,-52.12858,9.115271,15.06953,314.55801908334
Bahrain,Mortalidad_Baja,40.445587,41.894238,-2.419894,-2.269043,30470.5219276023
Bahrain,Mortalidad_Baja,39.529903,40.26093,-2.2538059,-2.3330612,27147.8083882286
Bahrain,Mortalidad_Baja,41.0962,40.431103,-2.4086514,-2.3010006,24342.8444554718
Bahrain,Mortalidad_Baja,40.9577,40.35516,-2.3991625,-2.3164775,27259.7438599327
Bahrain,Mortalidad_Baja,41.45089,40.52326,-2.4227316,-2.2763333,26324.4066549559
Bahrain,Mortalidad_Baja,41.488033,40.107307,-2.4159684,-2.2757607,24784.7693514607
Bahrain,Mortalidad_Baja,41.914833,40.610416,-2.4525192,-2.2477903,23800.001440631
Bahrain,Mortalidad_Baja,41.716965,40.61427,-2.447066,-2.2624002,23734.0551143019
Bahrain,Mortalidad_Baja,40.892857,41.138077,-2.404765,-2.2947266,26451.7965647453
Bahrain,Mortalidad_Baja,40.32046,40.89299,-2.3603232,-2.3255322,26989.7601148469
Bahrain,Mortalidad_Baja,40.770382,41.281883,-2.405255,-2.2883842,26438.6733230428
Bahrain,Mortalidad_Baja,40.312866,41.23146,-2.385808,-2.3219771,25032.7867743333
Bahrain,Mortalidad_Baja,40.672245,40.57719,-2.3662636,-2.3478806,21819.3291098099
Bahrain,Mortalidad_Baja,41.141426,41.067944,-2.3980706,-2.2999175,19465.3140745038
Bahrain,Mortalidad_Baja,39.735325,40.74939,-2.2994766,-2.3683453,23299.4992780392
Bahrain,Mortalidad_Baja,39.888847,40.2777,-2.2800908,-2.395201,20908.4042548073
Bahrain,Mortalidad_Baja,39.961544,40.167652,-2.331998,-2.3900273,19267.282615072
Bahrain,Mortalidad_Baja,37.5007,38.544506,-1.8902786,-2.3275776,17966.1657837625
Bahrain,Mortalidad_Baja,36.572254,37.72798,-1.9060439,-2.31864,15963.9493171617
Bahrain,Mortalidad_Baja,36.733475,37.741695,-1.9035307,-2.3501763,14486.0269029822
Bahrain,Mortalidad_Baja,37.31809,38.634678,-1.8587306,-2.3446534,13501.4708801425
Bahrain,Mortalidad_Media,37.48775,38.847084,-1.855294,-2.3035138,13573.2339887597
Bahrain,Mortalidad_Media,37.288116,38.226917,-1.8651521,-2.3781323,14214.4836839343
Bahrain,Mortalidad_Media,36.53622,37.535023,-1.9099733,-2.3621678,11900.9317778335
Bangladesh,Mortalidad_Media,-7.603375,-39.43937,11.774139,12.771065,2716.48592780431
Bangladesh,Mortalidad_Media,-18.314283,27.989798,-3.8905704,11.849163,2482.84917843357
Bangladesh,Mortalidad_Media,-18.353823,27.867111,-3.8557312,11.8743515,2248.85078828233
Bangladesh,Mortalidad_Media,-18.316296,27.797543,-3.8371007,11.878338,2129.79896954606
Bangladesh,Mortalidad_Media,-18.44888,27.313665,-3.7909148,11.95231,1965.24372731467
Bangladesh,Mortalidad_Media,-18.528816,26.842453,-3.7262127,11.999198,1811.08221668646
Bangladesh,Mortalidad_Media,-8.26169,-45.074318,10.865148,13.217866,1649.28380858601
Bangladesh,Mortalidad_Media,-19.858368,24.802168,-3.511088,12.14013,1224.38647668165
Bangladesh,Mortalidad_Media,-19.755634,24.577072,-3.4532285,12.161249,1094.46199702838
Bangladesh,Mortalidad_Media,-19.993425,24.185364,-3.3988419,12.154991,958.262989798283
Bangladesh,Mortalidad_Media,-19.988699,23.995075,-3.4215577,12.212227,859.680536375497
Bangladesh,Mortalidad_Media,-20.13755,23.735643,-3.3175244,12.245377,837.336944695647
Bangladesh,Mortalidad_Media,-9.025801,-49.25533,10.527918,13.5014,757.385280361508
Bangladesh,Mortalidad_Media,-21.584106,16.85726,-1.9878991,13.624103,679.211477428056
Bangladesh,Mortalidad_Media,-21.671606,16.54179,-1.8967017,13.73485,613.06204104124
Bangladesh,Mortalidad_Alta,-22.46863,9.30163,-1.815601,13.816272,537.955492792911
Bangladesh,Mortalidad_Alta,-22.75921,8.951067,-1.700618,13.888208,490.388026533289
Bangladesh,Mortalidad_Alta,-18.790876,-55.32284,9.667043,14.0886135,480.08585075452
Bangladesh,Mortalidad_Alta,-23.993065,7.977137,-1.6848596,13.963816,455.614016909798
Bangladesh,Mortalidad_Alta,-24.5602,7.4857283,-1.67236,13.978503,426.74880754362
Bangladesh,Mortalidad_Alta,-25.565922,5.926606,-1.5539584,14.320638,393.886422327628
Bangladesh,Mortalidad_Alta,-25.74102,5.693865,-1.5548394,14.48157,394.65641001891
Bangladesh,Mortalidad_Alta,-22.422726,-55.75938,9.345661,14.276315,396.670730249751
Bangladesh,Mortalidad_Alta,-29.346014,-53.40195,8.966596,14.949656,309.458680823367
Barbados,Mortalidad_Baja,17.282421,43.032818,-2.5844266,3.886722,22164.0260273876
Barbados,Mortalidad_Baja,15.838085,38.795662,-2.964897,4.8632455,18696.7858952957
Barbados,Mortalidad_Baja,12.479293,28.6629,-3.0963852,5.4410076,18347.1109131055
Barbados,Mortalidad_Baja,14.975766,38.537415,-3.121066,5.078082,20583.7265786414
Barbados,Mortalidad_Baja,17.043133,39.892,-2.823274,4.5516953,20055.915870771
Barbados,Mortalidad_Baja,16.347647,37.692547,-2.8506126,5.216887,19692.7606711615
