country,categoria_expectativa_vida,PC_1,PC_2,PC_3,PC_4,PC_5,PC_6,PC_7,PC_8,gdp_per_capita_current_us$
Albania,Mortalidad_Baja,-0.2125337454494475,0.05939242433976898,-0.49161726438646536,-0.5618118022282051,-1.253367381784757,0.9779378768464476,0.34198773685106976,0.14477108583869283,6846.42669381643
Albania,Mortalidad_Baja,-0.27013976088292735,0.13436049736268602,-0.51335562373643,-0.4495667228617148,-1.1029979408562138,1.0983054480902414,0.20596105061439762,-0.022203492393569387,6413.28280828537
Albania,Mortalidad_Baja,0.16677481728973648,-1.0709418099741546,0.31276861300016795,0.8126689333193273,-0.9859249831377715,0.7737172208058751,0.325500151062251,0.022206907854006617,5370.77749956875
Albania,Mortalidad_Baja,0.29487505498157907,-1.0661081735596911,0.27294998459229153,0.8230052164147943,-1.0344373781043665,0.8391898843830435,0.30084214297220796,0.14279614141477737,5460.4305086932
Albania,Mortalidad_Baja,0.2547765466924752,-1.0597673842423632,0.24486610616657148,0.8623182391862023,-1.0920767274186394,0.8221204389701966,0.2505502070247424,0.12874938965240137,5365.48880180298
Albania,Mortalidad_Baja,0.23635262185884262,-1.059493828773392,0.2531478423416272,0.8583039509758003,-1.0751085586606741,0.8111219640089403,0.26128972921751226,0.09943962561886846,4614.0479692596
Albania,Mortalidad_Baja,0.028114686620374085,-1.105394425440001,0.25909363463408086,0.87843676382957,-1.259033806430154,0.6948973177284211,0.3972982118706039,0.08933632152620595,4168.37544462548
Albania,Mortalidad_Baja,-0.025644483405125033,-1.1189514764094168,0.25255822764443836,0.8769226847015444,-1.3244704394649263,0.6222132285865013,0.3781098046113627,0.08242160159095142,3981.72662261867
Albania,Mortalidad_Baja,-0.07473666479002235,-1.1095972507787004,0.2469923831766484,0.903602333013865,-1.323765010265164,0.6137639050072438,0.4051411343155767,0.05915681475925879,4602.23051443229
Albania,Mortalidad_Baja,-0.5077043700991825,0.06789525393816906,-0.5559537231652462,-0.38364829391227884,-1.4785567124748842,0.9717435976680748,0.385742738427778,0.08070100468254597,4420.23461988353
Albania,Mortalidad_Baja,0.037093542046115424,-1.1139215692170146,0.2725294818576629,0.8305980151042397,-1.239213222653383,0.6060894575938977,0.2767338197715517,0.09373199466609747,4222.3470988913
Albania,Mortalidad_Baja,-0.4266474394757613,0.06993888926605554,-0.5791399897719144,-0.4123604219936955,-1.493898545127837,0.9072955406198329,0.22370391096838813,0.15643874823975676,4465.70914328865
Albania,Mortalidad_Baja,-0.41724179905826697,0.09157524624913284,-0.603404990061124,-0.36666700918407885,-1.4913992806995493,0.9618413675139534,0.12441654393395446,0.18462647041979258,4149.14469936847
Albania,Mortalidad_Baja,-0.450248222165532,0.04340307556435149,-0.5800479356443523,-0.45747094377688097,-1.5714795934098815,0.7619635398453586,0.1837721085062776,0.2375359761712162,4213.65007574693
