country,categoria_expectativa_vida,government_integrity,energy_use_kg_of_oil_equivalent_per_capita,life_expectancy_at_birth_total_years,services_value_added_of_gdp,tiene_dato_gini,government_integrity infant_mortality_rate_per_1_000_live_births,ratio_auto_agriculture_value_added_of_gdp_div_government_integrity,ratio_auto_infant_mortality_rate_per_1_000_live_births_div_agriculture_value_added_of_gdp,gdp_per_capita_current_us$
Angola,Mortalidad_Alta,0.23,0.023566171582907424,0.6635238572143929,0.48131918308119603,0.0,0.22301707779886146,0.06205810539115917,0.07107146365289624,3213.90261080059
Angola,Mortalidad_Alta,0.177,0.02030063846682191,0.6542814221331996,0.4602706606416589,0.0,0.18002277039848197,0.06671372512581163,0.0909954391487076,5005.9997412707
Angola,Mortalidad_Alta,0.2,0.023310766383080946,0.6443951641748336,0.41432994699113246,0.0,0.21518026565464896,0.050908993257625774,0.11238437088212723,5057.74787833163
Angola,Mortalidad_Alta,0.19,0.024202809494085462,0.6331068030617353,0.3780704322561217,0.0,0.21776091081593926,0.049982670518072876,0.12882378060624822,5086.02740086376
Angola,Mortalidad_Alta,0.19,0.02211405491521477,0.6213319979969956,0.37203721458597855,0.0,0.23218216318785576,0.048138476612160884,0.14297082098206798,4615.91059831778
Angola,Mortalidad_Alta,0.19,0.022162584750027452,0.6091565920309034,0.4040917927985432,0.0,0.24840607210626184,0.050893971143651,0.14471888556137336,3597.34293216332
Angola,Mortalidad_Alta,0.22,0.02298137530869106,0.5946061950067958,0.48509092572736523,0.0,0.30766603415559773,0.04708956228538735,0.14448759856848004,3136.64546955947
Angola,Mortalidad_Alta,0.22,0.021456400628563497,0.5811002217612131,0.31801652402780034,1.0,0.32853889943074005,0.034175290985998225,0.21415011236700074,4103.0669003635
Angola,Mortalidad_Alta,0.2,0.02028345245840744,0.5656341655340154,0.3211371141510269,0.0,0.3180265654648956,0.04101105301618529,0.20894272158957652,3141.0459797605
Angola,Mortalidad_Alta,0.2,0.01917519060142933,0.5479648043493812,0.3501560507827609,0.0,0.3381404174573055,0.04061208759680656,0.2245832429365797,2617.05196022633
Angola,Mortalidad_Alta,0.33280000000000004,0.017766613863155395,0.5360183131840617,0.3315686386029461,0.0,0.5961351043643265,0.023790995929306644,0.24438309697571486,1916.46842218625
Angola,Mortalidad_Alta,0.26280000000000003,0.019669331405516688,0.5216109879104369,0.3865370833791265,0.0,0.4951810246679316,0.03721572599243886,0.20761966304495896,1266.21086410236
Angola,Mortalidad_Alta,0.278,0.02025301430697733,0.5086629944917376,0.39606401390018897,0.0,0.5486148007590134,0.03488546831521811,0.21947368643915874,992.698979254665
Angola,Mortalidad_Alta,0.262,0.019477530726063317,0.47512697617855354,0.35871625421661796,0.0,0.5374231499051233,0.034872969375229323,0.2424852187247546,882.147847234303
Angola,Mortalidad_Alta,0.1732,0.019439256351145354,0.46308033478789606,0.23388462146036043,0.0,0.3677624288425047,0.07368180308982464,0.1788549388957677,533.586202412447
Angola,Mortalidad_Alta,0.1,0.019421769066617266,0.45548322483725584,0.17975187932743042,1.0,0.21821631878557873,0.08863126643060813,0.26624513520348486,563.733795571487
Angola,Mortalidad_Alta,0.3,0.02093106918163741,0.4503040274697761,0.303460225498665,0.0,0.7013282732447818,0.0346993276742859,0.24256045511978616,404.29481849612
Argentina,Mortalidad_Baja,0.451,0.08350159012093926,0.8747549896272979,0.5366411599734175,1.0,0.07103036053130929,0.023029842917277287,0.013298922021540609,13935.6811110049
Argentina,Mortalidad_Media,0.54,0.08037615491497752,0.8481722583875813,0.5289147437480779,1.0,0.08709677419354839,0.021126181444331774,0.012176384301034824,10738.0179223384
Argentina,Mortalidad_Baja,0.49700000000000005,0.07492422319757237,0.8757851062307747,0.5519914751429872,1.0,0.08204743833017078,0.020012851074187876,0.014868870684990551,8535.59938004389
Argentina,Mortalidad_Baja,0.335,0.08203584925183587,0.8896487588525643,0.5586157383645637,1.0,0.05657495256166983,0.024840467743494604,0.0189161378957341,9955.97478680428
Argentina,Mortalidad_Baja,0.326,0.08339845838263572,0.8885471063738464,0.5692306793913425,1.0,0.05691081593927894,0.021779411562539406,0.02361623739682793,11752.7998922979
Argentina,Mortalidad_Baja,0.38200000000000006,0.08655671896151582,0.8852993776378855,0.5804072372549547,1.0,0.06813662239089185,0.021428109946590182,0.020554293681076096,14532.5009308511
Argentina,Mortalidad_Baja,0.34,0.08725472931906407,0.8790328349667358,0.5664084027233827,1.0,0.06258064516129032,0.028828556687260323,0.017256527422774358,12699.9623137756
Argentina,Mortalidad_Baja,0.34,0.08864180716316071,0.8861148866156376,0.5629040283276506,0.0,0.06451612903225806,0.023730265770570004,0.02244584870141642,13679.6264980954
Argentina,Mortalidad_Baja,0.295,0.08826398045050013,0.8813649044996066,0.5301292385289178,1.0,0.05821631878557875,0.035602975056852185,0.01726860763773926,12233.1444119186
Argentina,Mortalidad_Baja,0.3,0.08904976797915645,0.8750840546534084,0.5412871315793284,1.0,0.06204933586337761,0.03156853349326747,0.020607648271604308,12963.675773326
Argentina,Mortalidad_Baja,0.29,0.08761391538208779,0.8746977609271049,0.5383113624169904,1.0,0.06273244781783682,0.031194046575317384,0.0228772758816903,12949.717486654
Argentina,Mortalidad_Baja,0.29,0.08611248338145704,0.8789612990914941,0.5172599195047626,1.0,0.06548387096774194,0.03776002870171794,0.01927357928573662,12704.2831819684
Argentina,Mortalidad_Baja,0.29,0.08429297825948039,0.872952285571214,0.5136485217686855,1.0,0.06823529411764706,0.03847993887022939,0.019782028780126946,10260.1313108254
Argentina,Mortalidad_Baja,0.29,0.07949864450342391,0.8714786465412403,0.5342963585299576,1.0,0.07043643263757117,0.02845260015389369,0.02892447340782038,8150.23527028221
Argentina,Mortalidad_Baja,0.29,0.08723333726816977,0.8693468774590456,0.4995095910380668,1.0,0.07263757115749525,0.03948770516664425,0.020644188225972308,8944.1102657357
Argentina,Mortalidad_Media,0.28,0.08521479637847186,0.8601187495529008,0.49099352316177647,1.0,0.07225806451612904,0.041643409752954205,0.020928198267083323,7185.25155147027
Argentina,Mortalidad_Baja,0.25,0.0823422209767159,0.8672151083768509,0.4823367945732747,1.0,0.06641366223908918,0.04340633665454389,0.023499396251016783,5869.38028970204
Argentina,Mortalidad_Baja,0.25,0.07902007968079329,0.8665283639745331,0.4793380871709123,1.0,0.0683111954459203,0.04968475940739333,0.02078161386669614,5067.65342293276
Argentina,Mortalidad_Media,0.28,0.08034165017059978,0.8613777809571499,0.4719360842322513,1.0,0.0791650853889943,0.046729189055584444,0.020355144734686633,4242.02099089422
Argentina,Mortalidad_Media,0.35000000000000003,0.07329093067807574,0.8533085342299163,0.5083636353036026,1.0,0.10227703984819735,0.04617065597850965,0.016495422199310775,3320.47775133903
Argentina,Mortalidad_Media,0.35000000000000003,0.06843080518106,0.8533800701051577,0.5510630650865944,1.0,0.10493358633776091,0.04562741645488303,0.017251474556391717,2569.69963519124
Argentina,Mortalidad_Media,0.3,0.0700180321784176,0.8511195364475284,0.6685634106202418,1.0,0.09222011385199241,0.02382712993645414,0.04377894586478613,7141.47507662826
Argentina,Mortalidad_Media,0.3,0.07581275072648318,0.8476285857357464,0.6501832626362468,1.0,0.09506641366223909,0.02440771785239333,0.04407757928086381,7637.01489203628
Argentina,Mortalidad_Media,0.5,0.06949548517266559,0.8326632806352385,0.6364371953611194,1.0,0.198292220113852,0.01674609282217529,0.04855244810937007,7357.6162773788
Armenia,Mortalidad_Media,0.508,0.06208831116808024,0.859873433844146,0.5606383687964075,1.0,0.08964705882352941,0.03125158986022479,0.008867364551385617,6571.97445545099
Armenia,Mortalidad_Media,0.45,0.0585583597941699,0.8242799739679203,0.5317008035602757,1.0,0.08282732447817837,0.03944093987067149,0.008051571940972002,4685.17997128509
Armenia,Mortalidad_Media,0.434,0.05678446226097997,0.8399829709721383,0.5335574986825216,1.0,0.084,0.04091754009929835,0.008630230742113639,4268.68093304583
Armenia,Mortalidad_Baja,0.386,0.053526037628976585,0.8807060765364074,0.5419039100326569,1.0,0.07837191650853889,0.046718348644589444,0.009024217065174122,4597.22887399548
Armenia,Mortalidad_Baja,0.405,0.04931418111218477,0.8720868759585376,0.5264321192681705,1.0,0.08607210626185959,0.05386300803978734,0.007363782574866281,4196.00562301769
Armenia,Mortalidad_Baja,0.434,0.05087490779859325,0.8663291103903239,0.5053256069956065,1.0,0.09635294117647059,0.054056279512390344,0.007058249233512993,3869.05373867752
Armenia,Mortalidad_Media,0.37,0.04795724798561283,0.8613390468978726,0.49557935468785463,1.0,0.08565464895635673,0.06931075299097846,0.006580743657409462,3524.42476874707
Armenia,Mortalidad_Media,0.36,0.04987961396899407,0.8613739424467717,0.47621977810939764,1.0,0.08743833017077798,0.07485488849555154,0.006565504566888208,3512.39350276709
Armenia,Mortalidad_Media,0.267,0.04809077199119721,0.8614088379956693,0.4671020676324903,1.0,0.06788994307400378,0.10590261163572931,0.006542799883439782,3852.11800610384
Armenia,Mortalidad_Media,0.26,0.044091586919600585,0.8578145964591486,0.44813648245041504,1.0,0.06956356736242884,0.11093665025080886,0.006853255705607455,3680.16692158886
Armenia,Mortalidad_Media,0.26,0.045142310790510724,0.8506261133861077,0.44755695791770533,1.0,0.07301707779886148,0.10779487348941856,0.007668102656941627,3511.56399687426
Armenia,Mortalidad_Media,0.27,0.04117463898013157,0.8462990653227227,0.5410140840215745,1.0,0.07992409867172676,0.0596083860953378,0.01683410731995664,3349.55309771906
Armenia,Mortalidad_Media,0.29,0.03740069296740115,0.8370866404135817,0.5220096841232545,1.0,0.09024667931688805,0.05474078975610532,0.018159346042439187,3041.34450723339
Armenia,Mortalidad_Media,0.3,0.03905796133112301,0.835655922908753,0.5894550133766759,1.0,0.09791271347248577,0.0396931459611341,0.02670443170920094,2820.5926553347
Armenia,Mortalidad_Media,0.29,0.04471417926797726,0.835655922908753,0.6054947992353409,1.0,0.09960151802656549,0.03971621564149361,0.029344415525393013,3777.66859313767
Armenia,Mortalidad_Media,0.29,0.04216005930784012,0.8327944878990958,0.5213450579381176,1.0,0.10510436432637572,0.05088562077288875,0.02358626775192573,2962.70234594569
Armenia,Mortalidad_Media,0.31,0.03752353691520612,0.8320965769211317,0.5825761292772285,1.0,0.11823529411764706,0.05728332625140545,0.020212105350229825,2041.65267068997
Armenia,Mortalidad_Media,0.3,0.03660785806705981,0.8356908184576521,0.4953707838194321,1.0,0.12125237191650853,0.13078445590742258,0.007975757370514383,1557.48458908655
Armenia,Mortalidad_Media,0.25,0.03026777547663469,0.8349929074796867,0.47215958130692914,1.0,0.10673624288425047,0.10488941454048939,0.014523127458300573,1130.08791444158
Armenia,Mortalidad_Media,0.25,0.028441747119434483,0.8321314724700293,0.4264493381999001,1.0,0.11242884250474383,0.16118538559114498,0.008916094185107233,882.030167695474
Armenia,Mortalidad_Media,0.25,0.0267644380417223,0.8321314724700293,0.3970102700297853,1.0,0.11859582542694497,0.1485623318437328,0.010681390581335715,742.651118319819
Armenia,Mortalidad_Media,0.3,0.028533292182499843,0.8342601009528234,0.4050095827373227,1.0,0.15028462998102465,0.18984330522947795,0.0063275795046133215,659.588988535629
Armenia,Mortalidad_Media,0.3,0.028577276176492073,0.8328991745457914,0.47761831551899436,0.0,0.15825426944971538,0.14544917246593497,0.009933285841111453,593.450581742282
Armenia,Mortalidad_Media,0.254,0.02262788388170039,0.7720650662404749,0.40572984403063345,0.0,0.17302846299810246,0.17498602947190645,0.013477499976062733,443.924860857976
Australia,Mortalidad_Baja,0.87,0.2264688652679761,0.9805422419343299,0.6480289312854282,0.0,0.052827324478178374,0.004807591270978389,0.012591689275419529,64997.0136536475
Australia,Mortalidad_Baja,0.898,0.23487558835354838,0.9819729594391586,0.6759192443686118,0.0,0.054527514231499055,0.004014087210635808,0.015140029259765668,60607.7788605166
Australia,Mortalidad_Baja,0.893,0.242221851505143,0.9805422419343299,0.6818958733845641,0.0,0.05422390891840607,0.0035256660041065807,0.017812436106097333,51791.540179984
Australia,Mortalidad_Baja,0.799,0.24532236075362507,0.976250089419844,0.6791865916163901,0.0,0.04851612903225807,0.0041431887300224955,0.01677923985445724,54972.7017885437
Australia,Mortalidad_Baja,0.774,0.24468818766815312,0.9740865653881521,0.6854549727201578,1.0,0.046998102466793173,0.004972921781938737,0.013969064857371637,57196.4220783778
Australia,Mortalidad_Baja,0.748,0.2466244429666687,0.9705272194005292,0.6892190608482675,0.0,0.04541935483870968,0.005661203413530853,0.012396607116176349,53901.7145392154
