country,categoria_expectativa_vida,government_integrity,energy_use_kg_of_oil_equivalent_per_capita,life_expectancy_at_birth_total_years,agriculture_value_added_of_gdp,bin_auto_energy_use_kg_of_oil_equivalent_per_capita,gdp_per_capita_current_us$
Algeria,Mortalidad_Media,0.5,0.04390812464361885,0.81895700693898,0.1066961260718717,0.3333333333333333,2283.77299346126
Algeria,Mortalidad_Media,0.5,0.041847216641084393,0.8152085270763287,0.10614316405753836,0.3333333333333333,1937.46411413019
Algeria,Mortalidad_Media,0.5,0.039622286556967666,0.8063523857214394,0.11213120323172421,0.3333333333333333,1896.30020878013
Algeria,Mortalidad_Media,0.5,0.0400937725709607,0.7999284641247584,0.10591564222417663,0.3333333333333333,1772.92869122761
Algeria,Mortalidad_Media,0.5,0.039074866027111535,0.7586522641104514,0.28691062747552964,0.3333333333333333,1466.94806760415
Angola,Mortalidad_Alta,0.20600000000000002,0.019185078359474986,0.7093640460691035,0.17353123856824915,0.0,2929.69445467272
Angola,Mortalidad_Alta,0.204,0.01896401017019301,0.6909364046069102,0.14503786827894508,0.0,1925.87466082167
Angola,Mortalidad_Alta,0.151,0.018002155150665833,0.6931969382645395,0.12555074795055474,0.0,1449.92286669308
Angola,Mortalidad_Alta,0.20500000000000002,0.018900779020883822,0.692266971886401,0.09943061478648649,0.0,2189.85571407618
Angola,Mortalidad_Alta,0.189,0.01835238045207022,0.6861291937906859,0.10860740427330381,0.0,2538.59139143371
Angola,Mortalidad_Alta,0.128,0.02074299987482136,0.6789756062665426,0.12644236547694873,0.0,2437.25971190821
Angola,Mortalidad_Alta,0.19,0.021032718159061218,0.6717790972172544,0.12409061141166428,0.3333333333333333,1807.95294072643
Angola,Mortalidad_Alta,0.23,0.023566171582907424,0.6635238572143929,0.11512241466584384,0.3333333333333333,3213.90261080059
Angola,Mortalidad_Alta,0.177,0.02030063846682191,0.6542814221331996,0.09518379573022456,0.0,5005.9997412707
Angola,Mortalidad_Alta,0.2,0.023310766383080946,0.6443951641748336,0.08202748065104033,0.3333333333333333,5057.74787833163
Angola,Mortalidad_Alta,0.19,0.024202809494085462,0.6331068030617353,0.07648606885521661,0.3333333333333333,5086.02740086376
Angola,Mortalidad_Alta,0.19,0.02211405491521477,0.6213319979969956,0.07365185781340298,0.3333333333333333,4615.91059831778
Angola,Mortalidad_Alta,0.19,0.022162584750027452,0.6091565920309034,0.07788658226497541,0.3333333333333333,3597.34293216332
Angola,Mortalidad_Alta,0.22,0.02298137530869106,0.5946061950067958,0.08346647895256695,0.3333333333333333,3136.64546955947
Angola,Mortalidad_Alta,0.22,0.021456400628563497,0.5811002217612131,0.06048570829201928,0.3333333333333333,4103.0669003635
Angola,Mortalidad_Alta,0.2,0.02028345245840744,0.5656341655340154,0.06601543479268622,0.0,3141.0459797605
Angola,Mortalidad_Alta,0.2,0.01917519060142933,0.5479648043493812,0.06537002247101516,0.0,2617.05196022633
Angola,Mortalidad_Alta,0.33280000000000004,0.017766613863155395,0.5360183131840617,0.06371369207048788,0.0,1916.46842218625
Angola,Mortalidad_Alta,0.26280000000000003,0.019669331405516688,0.5216109879104369,0.07877987049311802,0.0,1266.21086410236
Angola,Mortalidad_Alta,0.278,0.02025301430697733,0.5086629944917376,0.07811553482706364,0.0,992.698979254665
Angola,Mortalidad_Alta,0.262,0.019477530726063317,0.47512697617855354,0.07357426751323902,0.0,882.147847234303
Angola,Mortalidad_Alta,0.1732,0.019439256351145354,0.46308033478789606,0.10289511082240825,0.0,533.586202412447
Angola,Mortalidad_Alta,0.1,0.019421769066617266,0.45548322483725584,0.07136130356944075,0.0,563.733795571487
Angola,Mortalidad_Alta,0.3,0.02093106918163741,0.4503040274697761,0.08387167286407413,0.0,404.29481849612
Argentina,Mortalidad_Baja,0.451,0.08350159012093926,0.8747549896272979,0.08368289243277356,0.6666666666666666,13935.6811110049
