country,categoria_expectativa_vida,energy_use_kg_of_oil_equivalent_per_capita,life_expectancy_at_birth_total_years,agriculture_value_added_of_gdp,ratio_auto_energy_use_kg_of_oil_equivalent_per_capita_div_government_integrity,ratio_auto_agriculture_value_added_of_gdp_div_government_integrity,gdp_per_capita_current_us$
Albania,Mortalidad_Baja,0.0357815277821338,0.9171471492953716,0.214620052385816,0.04896818884320036,0.07464711834270955,6846.42669381643
Albania,Mortalidad_Baja,0.03713980028233272,0.8896058373274196,0.2248549873388758,0.044547235459950756,0.06857076642187784,6413.28280828537
Albania,Mortalidad_Baja,0.034909912055976655,0.9036268688747406,0.23767430575818613,0.04384875478946508,0.07583659425231037,5370.77749956875
Albania,Mortalidad_Baja,0.0374725594748351,0.9271335574790756,0.22950202064342864,0.04516405253367176,0.07033230038698651,5460.4305086932
Albania,Mortalidad_Baja,0.03774755033424578,0.9238572143930179,0.2264034031570331,0.04606161130788026,0.07025354294416288,5365.48880180298
Albania,Mortalidad_Baja,0.03780656199324813,0.9190213892266972,0.2284728776849403,0.04636517644549179,0.07125192746307749,4614.0479692596
Albania,Mortalidad_Baja,0.03602899778633869,0.9153444452392874,0.2422435979884495,0.05318709052667364,0.09087728951082952,4168.37544462548
Albania,Mortalidad_Baja,0.034925260211861354,0.9112669003505258,0.23692785903893002,0.05490548799837464,0.09462036930549154,3981.72662261867
Albania,Mortalidad_Baja,0.03718001547048307,0.9065598397596393,0.24313668064217167,0.0595576520826245,0.09901288946278215,4602.23051443229
Albania,Mortalidad_Baja,0.03684757146140003,0.9060733958079976,0.23917621731235514,0.057888962095780705,0.09551703761458732,4420.23461988353
Albania,Mortalidad_Baja,0.03156457319887963,0.9073467343872952,0.22230061782041727,0.04667812742757277,0.08340585291389956,4222.3470988913
Albania,Mortalidad_Baja,0.03513904734442954,0.9104800057228699,0.21127574493006632,0.053511125520042606,0.08175285458973275,4465.70914328865
Albania,Mortalidad_Baja,0.03347570784337497,0.9120681021532298,0.20669929212096638,0.0480096519067517,0.07527976832135246,4149.14469936847
Albania,Mortalidad_Baja,0.03361513830821926,0.913427283782817,0.193039005557406,0.056518501693794417,0.08243546188479157,4213.65007574693
Albania,Mortalidad_Baja,0.03260482664416358,0.9096931110952142,0.1948472213101301,0.06117029492155632,0.09280706071261252,4498.50486763601
Albania,Mortalidad_Baja,0.0311503960862338,0.9017240145933185,0.19624502062012475,0.06335212507039688,0.10126103065331418,3743.05529896187
Albania,Mortalidad_Baja,0.03240075601374469,0.8917519135846625,0.2026870463397407,0.06322437067962551,0.10039633027107578,3057.77257038113
Albania,Mortalidad_Baja,0.03301273648503367,0.8836397453322842,0.21639487238270008,0.06440213342588344,0.10717518884860024,2741.72136549578
Albania,Mortalidad_Baja,0.03280602061127119,0.8768295300092994,0.23459821202194542,0.06400430658891787,0.11617718994391388,2446.90949947798
Albania,Mortalidad_Baja,0.029684336366705324,0.8711925030402747,0.2503486204696953,0.14499148243743726,0.30991538993693374,1908.69900687608
Albania,Mortalidad_Baja,0.030230104334666476,0.8675012518778167,0.24979552174581535,0.14761732268447847,0.3092315874840792,1479.83884572006
Albania,Mortalidad_Media,0.027311486800672177,0.8644109020673867,0.25850876448912097,0.058076108091861436,0.13913211821461763,1326.41652388077
Albania,Mortalidad_Media,0.026529336930734206,0.8607339580799769,0.280360036603231,0.12981190982654528,0.34701885642441643,1160.42047054038
Albania,Mortalidad_Media,0.01890254736894775,0.8492309893411547,0.4152489687659377,0.09311732135176297,0.5137836285951887,911.320465445326
Algeria,Mortalidad_Baja,0.06917747692603904,0.8793762071678948,0.1339874073978358,0.11129696879552697,0.05516832379829394,4961.55257664733
Algeria,Mortalidad_Baja,0.06690805477367194,0.8661992989484226,0.14186244060424108,0.09910858106011147,0.053759220409948495,4160.55926736925
Algeria,Mortalidad_Media,0.06322113710924301,0.8382860004292152,0.1620953938747923,0.10824956965579889,0.0709564977615101,3743.5419522929
Algeria,Mortalidad_Baja,0.06746795924190445,0.8729808999213104,0.14494718467049833,0.1130722888982854,0.062147528056877885,4468.45341883656
Algeria,Mortalidad_Baja,0.06648373826281992,0.8711638886901782,0.14196869166818674,0.11104950216646432,0.06066345178608524,4577.21029180491
Algeria,Mortalidad_Baja,0.06360848213280006,0.8693897989841906,0.13928634667559994,0.0972270996484413,0.05445040868767891,4554.66753957828
Algeria,Mortalidad_Baja,0.06318408785016713,0.8676586308033478,0.13974741717426914,0.08504667442229144,0.048104950671213544,4424.98529027556
Algeria,Mortalidad_Media,0.06519334394581311,0.8654982473710566,0.13297004616308883,0.08773197590584934,0.04577746638371889,4685.05902729002
Algeria,Mortalidad_Media,0.06257362038799201,0.8631089491379926,0.11872344040026715,0.10565536604837047,0.051284192626369116,6094.69392314956
Algeria,Mortalidad_Media,0.05866019741526853,0.860490736104156,0.11509128529605854,0.09806977348179116,0.049205226480668864,5979.60138960585
Algeria,Mortalidad_Media,0.057969394715405166,0.8576293010944986,0.10125740810908969,0.09692368991252438,0.04330764546183497,6033.64884689543
Algeria,Mortalidad_Media,0.05404466342008524,0.854395879533586,0.0893175231004575,0.0936413342232913,0.03958241131239568,5916.31364364343
Algeria,Mortalidad_Media,0.05297127198856992,0.8509764646970455,0.09498964404585387,0.08032229798346856,0.036826019207328455,4912.78585503672
Algeria,Mortalidad_Media,0.05286119842135566,0.8470706059088631,0.10105802845999216,0.08550058641693853,0.04178189214528342,4235.42990456612
Algeria,Mortalidad_Media,0.04923952113188119,0.8434508906216467,0.0699066857350392,0.07712157120999813,0.028010614614819095,5180.91881514686
Algeria,Mortalidad_Media,0.04956130984097645,0.8395593390085128,0.07973082362882651,0.0859375303563166,0.03534950087367005,4167.45169937531
Algeria,Mortalidad_Media,0.04747184672759855,0.8362686887474067,0.08023684437602675,0.08539707465518902,0.03689044512713263,3660.66104745322
Algeria,Mortalidad_Media,0.044997703680059314,0.8322626797338863,0.08268277575306175,0.08410319879267268,0.03947235982750291,3233.13339634212
Algeria,Mortalidad_Media,0.04383618793021221,0.8279705272194005,0.09740001018570627,0.04261598883554938,0.024164645090195294,2816.99384960555
Algeria,Mortalidad_Media,0.04390812464361885,0.81895700693898,0.1066961260718717,0.04268521031001909,0.026463224555498637,2283.77299346126
Algeria,Mortalidad_Media,0.041847216641084393,0.8152085270763287,0.10614316405753836,0.040702090927355175,0.02632649786805159,1937.46411413019
Algeria,Mortalidad_Media,0.039622286556967666,0.8063523857214394,0.11213120323172421,0.038561140448509064,0.02780711450964265,1896.30020878013
Algeria,Mortalidad_Media,0.0400937725709607,0.7999284641247584,0.10591564222417663,0.039014830303589786,0.026270240284725663,1772.92869122761
Algeria,Mortalidad_Media,0.039074866027111535,0.7586522641104514,0.28691062747552964,0.03803438221287177,0.07102348578167407,1466.94806760415
Angola,Mortalidad_Alta,0.019185078359474986,0.7093640460691035,0.17353123856824915,0.04586245431308779,0.10434230964276377,2929.69445467272
Angola,Mortalidad_Alta,0.01896401017019301,0.6909364046069102,0.14503786827894508,0.04579070384481137,0.08809728887024337,1925.87466082167
Angola,Mortalidad_Alta,0.018002155150665833,0.6931969382645395,0.12555074795055474,0.05879820265650584,0.10306378371050223,1449.92286669308
Angola,Mortalidad_Alta,0.018900779020883822,0.692266971886401,0.09943061478648649,0.04541893333727737,0.06016277355338648,2189.85571407618
Angola,Mortalidad_Alta,0.01835238045207022,0.6861291937906859,0.10860740427330381,0.047867892353444505,0.07125876110106459,2538.59139143371
Angola,Mortalidad_Alta,0.02074299987482136,0.6789756062665426,0.12644236547694873,0.07966581723183734,0.12244424267956511,2437.25971190821
Angola,Mortalidad_Alta,0.021032718159061218,0.6717790972172544,0.12409061141166428,0.05440324244350355,0.0809584891784047,1807.95294072643
Angola,Mortalidad_Alta,0.023566171582907424,0.6635238572143929,0.11512241466584384,0.050241436492275506,0.06205810539115917,3213.90261080059
Angola,Mortalidad_Alta,0.02030063846682191,0.6542814221331996,0.09518379573022456,0.056408996211847834,0.06671372512581163,5005.9997412707
Angola,Mortalidad_Alta,0.023310766383080946,0.6443951641748336,0.08202748065104033,0.05716323953044994,0.050908993257625774,5057.74787833163
