country,categoria_expectativa_vida,government_integrity,energy_use_kg_of_oil_equivalent_per_capita,life_expectancy_at_birth_total_years,agriculture_value_added_of_gdp,services_value_added_of_gdp,tiene_dato_gini,government_integrity infant_mortality_rate_per_1_000_live_births,ratio_auto_energy_use_kg_of_oil_equivalent_per_capita_div_government_integrity,ratio_auto_agriculture_value_added_of_gdp_div_government_integrity,ratio_auto_infant_mortality_rate_per_1_000_live_births_div_agriculture_value_added_of_gdp,bin_auto_energy_use_kg_of_oil_equivalent_per_capita,gdp_per_capita_current_us$
Albania,Mortalidad_Baja,0.35600000000000004,0.0357815277821338,0.9171471492953716,0.214620052385816,0.4533778456379881,0.0,0.056068311195445926,0.04896818884320036,0.07464711834270955,0.0031863314624691066,0.3333333333333333,6846.42669381643
Albania,Mortalidad_Baja,0.406,0.03713980028233272,0.8896058373274196,0.2248549873388758,0.4423678485439668,0.0,0.06317267552182164,0.044547235459950756,0.06857076642187784,0.00281680247378511,0.3333333333333333,6413.28280828537
Albania,Mortalidad_Baja,0.38799999999999996,0.034909912055976655,0.9036268688747406,0.23767430575818613,0.44781268004062647,1.0,0.05963567362428842,0.04384875478946508,0.07583659425231037,0.0024166253560743,0.3333333333333333,5370.77749956875
Albania,Mortalidad_Baja,0.40399999999999997,0.0374725594748351,0.9271335574790756,0.22950202064342864,0.444757411473645,1.0,0.06132827324478178,0.04516405253367176,0.07033230038698651,0.0025468586311532698,0.3333333333333333,5460.4305086932
Albania,Mortalidad_Baja,0.399,0.03774755033424578,0.9238572143930179,0.2264034031570331,0.43271202989511004,1.0,0.05905502846299811,0.04606161130788026,0.07025354294416288,0.0024785707671377464,0.3333333333333333,5365.48880180298
Albania,Mortalidad_Baja,0.397,0.03780656199324813,0.9190213892266972,0.2284728776849403,0.4345946063715129,1.0,0.058005692599620504,0.04636517644549179,0.07125192746307749,0.002352844902273296,0.3333333333333333,4614.0479692596
Albania,Mortalidad_Baja,0.33,0.03602899778633869,0.9153444452392874,0.2422435979884495,0.42189277714085155,1.0,0.04759013282732448,0.05318709052667364,0.09087728951082952,0.0019625453761855957,0.3333333333333333,4168.37544462548
Albania,Mortalidad_Baja,0.31,0.034925260211861354,0.9112669003505258,0.23692785903893002,0.4153898078249048,1.0,0.04470588235294117,0.05490548799837464,0.09462036930549154,0.002080499621602364,0.3333333333333333,3981.72662261867
Albania,Mortalidad_Baja,0.304,0.03718001547048307,0.9065598397596393,0.24313668064217167,0.41287783209517037,1.0,0.044994307400379505,0.0595576520826245,0.09901288946278215,0.0020812684042036474,0.3333333333333333,4602.23051443229
Albania,Mortalidad_Baja,0.31,0.03684757146140003,0.9060733958079976,0.23917621731235514,0.41254967628369316,0.0,0.047058823529411764,0.057888962095780705,0.09551703761458732,0.0023106051860149047,0.3333333333333333,4420.23461988353
Albania,Mortalidad_Baja,0.33,0.03156457319887963,0.9073467343872952,0.22230061782041727,0.42255123250497034,1.0,0.0532258064516129,0.04667812742757277,0.08340585291389956,0.003113438861351112,0.3333333333333333,4222.3470988913
Albania,Mortalidad_Baja,0.32,0.03513904734442954,0.9104800057228699,0.21127574493006632,0.40810539215732256,0.0,0.05464895635673624,0.053511125520042606,0.08175285458973275,0.0038447425639792578,0.3333333333333333,4465.70914328865
Albania,Mortalidad_Baja,0.34,0.03347570784337497,0.9120681021532298,0.20669929212096638,0.397548583249997,0.0,0.06258064516129032,0.0480096519067517,0.07527976832135246,0.004570879041390833,0.3333333333333333,4149.14469936847
Albania,Mortalidad_Baja,0.29,0.03361513830821926,0.913427283782817,0.193039005557406,0.40542585992503505,0.0,0.05722960151802657,0.056518501693794417,0.08243546188479157,0.005735346594974964,0.3333333333333333,4213.65007574693
Albania,Mortalidad_Baja,0.26,0.03260482664416358,0.9096931110952142,0.1948472213101301,0.39483301639806195,1.0,0.05476280834914611,0.06117029492155632,0.09280706071261252,0.006254272360177322,0.3333333333333333,4498.50486763601
Albania,Mortalidad_Baja,0.24,0.0311503960862338,0.9017240145933185,0.19624502062012475,0.3887913226668112,0.0,0.05419354838709678,0.06335212507039688,0.10126103065331418,0.0068701681206867135,0.3333333333333333,3743.05529896187
Albania,Mortalidad_Baja,0.25,0.03240075601374469,0.8917519135846625,0.2026870463397407,0.3848463721229273,0.0,0.06024667931688805,0.06322437067962551,0.10039633027107578,0.007209535232819867,0.3333333333333333,3057.77257038113
Albania,Mortalidad_Baja,0.25,0.03301273648503367,0.8836397453322842,0.21639487238270008,0.38711471885317805,1.0,0.06404174573055028,0.06440213342588344,0.10717518884860024,0.007164940688909995,0.3333333333333333,2741.72136549578
Albania,Mortalidad_Baja,0.25,0.03280602061127119,0.8768295300092994,0.23459821202194542,0.37755678819933597,0.0,0.0683111954459203,0.06400430658891787,0.11617718994391388,0.006997634568158436,0.3333333333333333,2446.90949947798
